filename,label,fullpath,dataset
aagfhgtpmv.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/aagfhgtpmv.mp4,Kaggle-dfdc
aapnvogymq.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/aapnvogymq.mp4,Kaggle-dfdc
aaqaifqrwn.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/aaqaifqrwn.mp4,Kaggle-dfdc
aassnaulhq.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/aassnaulhq.mp4,Kaggle-dfdc
aayrffkzxn.mp4,REAL,../datasets/Kaggle-dfdc/dfdc_train_part_0/aayrffkzxn.mp4,Kaggle-dfdc
abarnvbtwb.mp4,REAL,../datasets/Kaggle-dfdc/train_sample_videos/abarnvbtwb.mp4,Kaggle-dfdc
abebnhqyzv.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/abebnhqyzv.mp4,Kaggle-dfdc
abhggqdift.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/abhggqdift.mp4,Kaggle-dfdc
abofeumbvv.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/abofeumbvv.mp4,Kaggle-dfdc
abqwwspghj.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/abqwwspghj.mp4,Kaggle-dfdc
abxtkdjyru.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/abxtkdjyru.mp4,Kaggle-dfdc
acagallncj.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/acagallncj.mp4,Kaggle-dfdc
acdkfksyev.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/acdkfksyev.mp4,Kaggle-dfdc
achdeirhym.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/achdeirhym.mp4,Kaggle-dfdc
acifjvzvpm.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/acifjvzvpm.mp4,Kaggle-dfdc
acljesxipy.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/acljesxipy.mp4,Kaggle-dfdc
acqfdwsrhi.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/acqfdwsrhi.mp4,Kaggle-dfdc
acryukkddn.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/acryukkddn.mp4,Kaggle-dfdc
acxnxvbsxk.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/acxnxvbsxk.mp4,Kaggle-dfdc
acxwigylke.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/acxwigylke.mp4,Kaggle-dfdc
aczrgyricp.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/aczrgyricp.mp4,Kaggle-dfdc
adftmlvzfs.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/adftmlvzfs.mp4,Kaggle-dfdc
adhsbajydo.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/adhsbajydo.mp4,Kaggle-dfdc
adohikbdaz.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/adohikbdaz.mp4,Kaggle-dfdc
adwbthsgqb.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/adwbthsgqb.mp4,Kaggle-dfdc
adylbeequz.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/adylbeequz.mp4,Kaggle-dfdc
aegvtnwqoe.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/aegvtnwqoe.mp4,Kaggle-dfdc
aejvkfbtxs.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/aejvkfbtxs.mp4,Kaggle-dfdc
aelfnikyqj.mp4,REAL,../datasets/Kaggle-dfdc/train_sample_videos/aelfnikyqj.mp4,Kaggle-dfdc
aelsfznuqw.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/aelsfznuqw.mp4,Kaggle-dfdc
aelzhcnwgf.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/aelzhcnwgf.mp4,Kaggle-dfdc
aeovzefbpr.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/aeovzefbpr.mp4,Kaggle-dfdc
aeqpxjlbwu.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_0/aeqpxjlbwu.mp4,Kaggle-dfdc
aettqgevhz.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/aettqgevhz.mp4,Kaggle-dfdc
aeudhfvcvk.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/aeudhfvcvk.mp4,Kaggle-dfdc
aevrfsexku.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/aevrfsexku.mp4,Kaggle-dfdc
afoovlsmtx.mp4,REAL,../datasets/Kaggle-dfdc/train_sample_videos/afoovlsmtx.mp4,Kaggle-dfdc
afqfrfdowg.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/afqfrfdowg.mp4,Kaggle-dfdc
agdkmztvby.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/agdkmztvby.mp4,Kaggle-dfdc
agjxpidzyu.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/agjxpidzyu.mp4,Kaggle-dfdc
agplffthuy.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/agplffthuy.mp4,Kaggle-dfdc
agqphdxmwt.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/agqphdxmwt.mp4,Kaggle-dfdc
agrmhtjdlk.mp4,REAL,../datasets/Kaggle-dfdc/train_sample_videos/agrmhtjdlk.mp4,Kaggle-dfdc
ahbweevwpv.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/ahbweevwpv.mp4,Kaggle-dfdc
ahdbuwqxit.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/ahdbuwqxit.mp4,Kaggle-dfdc
aheocfkxjx.mp4,FAKE,../datasets/Kaggle-dfdc/dfdc_train_part_1/aheocfkxjx.mp4,Kaggle-dfdc
ahfazfbntc.mp4,FAKE,../datasets/Kaggle-dfdc/train_sample_videos/ahfazfbntc.mp4,Kaggle-dfdc
